StationCode,StationName,Longitude,Latitude,Address
3182,شهید اباذر,51.32683892,35.73726739,
3183,مخابرات,51.31040843,35.70527648,
3184,پردیس,51.3266023,35.73307799,
3185,A2,51.31044754,35.70328388,
3186,شهید فهیمی,51.32636561,35.73007769,
3187,هگمتانه,51.31033785,35.70345824,
3188,شطرنج,51.32561341,35.72644277,
3189,فاز سه,51.31351597,35.71419454,
3191,دین و دانش,51.31369008,35.71410825,
3193,بازارچه,51.31558381,35.71286388,
3195,مهد کودک,51.31546417,35.71284005,
3197,B3,51.31552825,35.71033737,
3199,شهید سهیلی,51.31567837,35.71037818,
3201,فرهنگ آیه,51.31574996,35.70830058,
3203,استادیوم,51.31560107,35.70786418,
3205,A3,51.3156891,35.70555274,
3207,پاسارگاد,51.31583504,35.70567981,
3209,حسینی,51.31591536,35.70309167,
3211,شهید کیوان,51.31595426,35.70152031,
3213,A1,51.31586552,35.70107973,
3215,B1,51.31579408,35.70303896,
3246,شهید شالی,51.3277465,35.72889921,
3252,سنایی,51.41686743,35.72385177,
3268,چهل و هفتم,51.40396343,35.73902857,
3276,بوستان یاسمن,51.40226724,35.7347135,
3284,خیابان پنجاه و سوم,51.40406452,35.74113892,
3287,مسجد جمکران,51.4036375,35.7373932,
3297,پایانه آزادی پایانه خاوران,51.33611122,35.70284833,
3302,شهدای هفتم تیر,51.42439844,35.71534176,
3304,شهدای هفتم تیر,51.42338279,35.71545765,
3330,ابتدای شهید مطهری,51.41281746,35.72371109,
3339,شهرک والفجر,51.39411628,35.74899632,
3350,شهید سرافراز,51.4203588,35.72399473,
3354,بیست متری دوم,51.39941695,35.74029256,
3356,شانزدهم,51.38895081,35.73274355,
3358,هفدهم,51.39316866,35.73391142,
3360,سوپر محله,51.39632526,35.73385814,
3362,فرهنگ مدبر,51.40446797,35.73538386,
3364,نانوایی,51.40236777,35.73483727,
3366,خیابان بیست و ششم,51.40080729,35.73158099,
3368,خیابان بیستم,51.3996411,35.72975071,
3370,شهید میرحیدری,51.40076616,35.7316368,
3372,شهید افشار,51.39807332,35.7257157,
3376,شهید زرندی,51.39764733,35.72751889,
3379,پایانه بیهقی  پایانه علم و صنعت,51.41692973,35.73749364,
3388,شیخ بهایی,51.39849501,35.74501162,
3389,چهارفصل,51.40492242,35.74421569,
3390,جم,51.42424615,35.72411857,
3391,پایانه شهرک والفجر م ولیعصر عج,51.39451366,35.74897476,
3404,کردستان,51.39418975,35.72881261,
